t,I
0.00001, 412354302
0.00005, 409791935
0.0001, 404303549
0.0002, 391255767
0.0003, 382516494
0.0005, 373343742
0.001, 362088355
0.0015, 354232610
0.003, 327078747
0.005, 294231900
0.008, 251459464
0.012, 204223755
0.017, 158835497
0.023, 121496622
0.03, 91091998
0.04, 60650797
0.05, 35918352
0.08, 11139181
0.1, 4702112
0.12, 2198565
0.15, 1288018
0.2, 225472
0.25, 1869757
0.3, -740332
0.6, -1178234
